,question,classification
433,Siapa nama istri ketiga Pangeran Diponegoro?,C
434,Berapa jumlah penduduk malaysia yang menggunakan jasa broadband pada Desember 2004?,B
435,Dimanakah tempat perjudian legal yang ada di singapura ?,B
436,Siapakah sutradara dari Antares ?,B
437,Apakah nama teknik bla basket yang menembak dari samping dengan satu tangan ?,B
438,Apa yang dilakukan CIA ketika tidak ada pemeran yang mirip Soekarno?,B
439,Mengapa rumah sakit swasta tidak dipandang sebagai investasi yang menjanjikan?,B
440,Kapan lagu Nightmare diriliis?,B
441,Bagaimana PDB per kapita AS pada tahun 2010?,B
442,medali apa yang diberikan FAO ke Soeharto?,B
443,Berapa banyak pasukan Muslim yang dikumpulkan Nabi Muhammad untuk menaklukkan kota Mekkah?,B
444,Pada tahun berapa federasi malaya merdeka?,C
445,Siapa yang memiliki sebagian besar bandara di AS?,B
446,Sampai kapan budak wanita dijual?,B
447,Apa yang memengaruhi musik tradisional malaysia?,B
448,Apa saja tingkatan percobaan pembunuhan yang dialami Soekarno?,C
449,Siapa pelukis istana yang melukis kembali rancangan Garuda Pancasila?,B
450,Mengapa Perang Dingin terjadi?,B
451,Apa peristiwa yang digambarkan oleh Tugu Proklamasi?,C
452,Bagaimana peran para menteri jika khilafah yang mempimpin kuat?,B
453,Apakah yang dilakukan oleh Hatta di Banda Neira selain menulis ?,C
454,Bagaimana kondisi langkah pembangunan saat ini?,C
455,Mengapa manusia tidak dapat dilepaskan dari suatu kepercayaan ?,B
456,Kapan Indonesia menjadi host Piala Asia?,C
457,Siapa yang mengawasi berita harian tersebut?,B
458,Mengapa Jerman menginvasi Denmark dan Norwegia?,B
459,Olahraga apakah yang paling banyak digemari oleh orang Indonesia?,C
460,Apakah jabatan yang pernah dipegang oleh Cokrosunaryo ?,C
461,Kapankah Esplanade dibuka ?,C
462,Mengapa Singapura mulai memperhatikan aspek pertahanan non-militer ?,A
463,Dari manakah gerakan mullah desa berasal ?,B
464,Apa yang menjadi kesamaan Majapahit dan negara indonesia saat ini?,B
465,Bagaimana rupa pakaian dari bangsawan?,B
466,Negara manakah yang memiliki sistem yudisial terburuk kedua diasia ?,B
467,Apa pekerjaan Soeharto setelah tamat SMP?,B
468,Siapakah negara arab pertama yang mengakui kemerdekaan Israel ?,C
469,Siapakah yang ditunjuk untuk menggambar sketsa relief candi Borobudur ?,B
470,Bagaimana gambaran kuda yang ditunggangi oleh tuan dan bangsawan Jawa?,C
471,Mengapa Soedirman diminta menjadi pemimpin tim persiapan serangan udara cilacap ?,B
472,Berapa rata-rata suhu di pegunungan Indonesia?,C
473,Apa itu patih hamangkubhumi?,B
474,Apa sumber hukum tertinggi negara AS?,B
475,Apa peran yang dimiliki presiden pada sistem parlementer?,B
476,Siapa yang berseru kepada umat Kristen di Eropa untuk melakukan perang suci?,B
477,Siapakah pionir balet pada abad ke-20?,B
478,Apa itu Kesultanan wanita?,B
479,Bangsa apa yang menyatukan bangsa - bangsa tersebut?,B
480,Berapakah target lapangan pekerjaan yang tercipta di RRT dalam 10 tahun kedepan ?,C
481,Berapa banyak kekayaan Soeharto di luar negeri?,B
482,Bagaimana cara konsep pemerintahaan inggris dapat disamakan?,B
483,Mengapa Austria-Hongaria membujuk Bulgaria?,B
484,Bagaimanakah nasib anggota PKI yang berada diluar Indonesia ?,A
485,Apa efek dari pemikiran pemikiran al-Ghazali?,B
486,Apa nama kerajaan sebelum majapahit yang menganut sistem mandala?,B
487,Apa isi kandungan surah-surah Al-Qur'an pada umumnya yang turun di Mekkah?,C
488,Kapan perang Italia dengan Ethiopia terjadi?,C
489,siapa putri bungsu dari keluarga Andin?,B
490,Tergabung dalam kelompok apakah purnawirawan perwira tinggi dan tokoh-tokoh sipil tersebut?,A
491,Kapankah Mahan memberikan nama pada permainan bla basket ?,B
492,Apakah yang mendasari pemikiran pemberian peran ganda pada ABRI ?,B
493,Pencapaian apa yang berhasil diraih oleh film laskar pelangi?,C
494,Apakah perbatasan timur laut Israel ?,C
495,Kapan dimulainya migrasi dari Asia menuju dataran Amerika?,B
496,Bagaimana Soeharto ditetapkan secara de facto sebagai Presiden Indonesia?,B
497,Kapankah biasanya mi dingin dan sashimi dimakan di Jepang ?,C
498,Mengapa SWC menerima permintaan maaf BTS?,B
499,Dimanakah BBL diselenggarakan ?,B
500,Apa dampak positif dari perang dingin?,B
501,Mengapa Jogja diberikan status Daerah Istimewa?,A
502,Kapankah pengikut Hatta mendirikan Gerakan merdeka ?,B
503,Apa saja pulau utama dari jepang?,B
504,Siapa nama kompetitor dari pasangan Jokowi-Basuki Tjahaja Purnama?,B
505,Bagaimana kondisi naskah asli surat kartini saat ini?,A
506,Berapakah perkiraan perdagangan ASEAN-KOrsel pada 2015 ?,B
507,Di kota mana Diponegoro lahir?,B
508,Berapa lama waktu yang dibutuhkan Jerman untuk menguasai Norwegia?,B
509,Stasiun televisi apa yang digunakan oleh Soeharto untuk membuat pernyataan pada saat itu?,B
510,apa yang menjadi penghambat perdaganan budak di Utsmaniyah?,B
511,Banthengwereng muncul di lukisan koleksi apa?,B
512,Mengapa populasi di Jepang cepat menua ?,B
513,Bagaiamanakah cara pemerintah untuk mempertahankah pertumbuhan penduduk Singapura ?,B
514,Makanan apa saja yang bisa kita temui dengan mudah di warung atau restoran?,B
515,Siapakah Shodanco Singgih itu?,A
516,Mengapa Indonesia memutuskan untuk kembali menjadi anggota PBB ?,B
517,Siapa yang menulis tentang kewajiban moral Belanda kepada orang Hindia Belanda?,B
518,Kapankah Belanda mengakui kedaulatan Indonesia?,B
519,Pada tanggal berapa Jaksa Agung Abdul Rahman mengeluarkan pernyataan mengenai SKPP mantan Presiden Soeharto?,B
520,Pada tahun berapa mesin Enigma ditemukan?,C
521,Mengapa kebanyakan umat Islam di Indonesia mampu melafalkan beberapa bahasa Arab?,C
522,Dimana lagu Limitless dinyanyikan saaat rilis? ,C
523,Apa jenis gunung terbanyak yang berada di Jepang?,B
524,Berapakah peringkat Jepang dalam kemudahan berbisnis ?,C
525,Kerajaan apa yang ditaklukan oleh Umar,B
526,"Pada masa pra-modern, siapa yang sebenarnya memegang kekuatan Jepang?",A
527,Apa itu Wounded Knee?,B
528,Kemana sidang PBB dipindahkan pada tahun 1988?,A
529,Apa nama unit ke-4 NCT?,B
530,Apakah fungsi Singapura bagi kerajaan Sriwijaya ?,B
531,Siapakah yang mengadakan Genee Internasional Ballet Competition ?,B
532,Siapa nama salah satu komponis besar yang dimainkan sampai saat ini?,B
533,Apa yang menjadi target pemerintah yang dikemukakan oleh LimKeng Yaik?,B
534,Di provinsi apa Teks Proklamasi disusun?,B
535,Bagaimankah pandangan PKI terhadap NASAKOM ?,B
536,Kapan kedaulatan Indonesia secara de facto diakui?,B
537,Apa saja komponen Syair Divan?,B
538,Apa nama keris yang disimpan di Museum Sasana Wiratama-Yogyakarta?,B
539,contoh video youtube yang bisa didownload?,B
540,Apa sajakah organisasi yang diikuti Soedirman saat berada di Wirotomo ?,B
541,Kapan terjadinya Perjanjian Kucuk Kaynarca?,B
542,Apa bahasa resmi kesultanan Utsmaniyah?,C
543,Apakah bentuk lapangan bola basket ?,C
544,Kapan malaysia mengalami krisis finansial asia 1997?,B
545,Dimanakah pasukan Soviet dan Sekutu Barat bertemu?,B
546,Siapakah yang mendatangi Nabi Muhammad SAW untuk menyampaikan wahyu Allah?,B
547,Di manakah tempat tinggal Habibie sewaktu kecil bersama orang tuanya?,A
548,Kapan susunan kabinet Soeharto yang pertama dirilis?,B
549,Apa saja situs yang paling populer di AS?,B
550,Megawati menikah dengan siapa?,B
551,Bagaimana struktur politik yang dimiliki oleh negara bagian Nebraska?,C
552,Apa yang Bani Umayyah dan Bani Idrisiyyah lakukan setelah wibawa khalifah sudah memudar?,B
553,Apa yang ditimbulkan fenomena meletusnya Gunung Toba?,A
554,Siapakah yang membantu Amerika Serikat dalam pergerakannya di Filipina?,B
555,Berapa jumlah orang yang ditangkap oleh TNI?,B
556,Berapakah proyeksi jumlah penduduk Jepang ditahun 2100 ?,B
557,berapa lama Soeharto menjadi tentara cadangan?,B
558,Siapa istri pertama Pangeran Diponegoro?,B
559,Siapa yang berkuasa atas Palestina secara de jure?,B
560,Siapakah yang dikunjungi Sutomo untuk mencari biaya penyelenggaraan kongres ?,B
561,Kapan anak-anak mulai bersekolah?,B
562,Apa yang terjadi pada mata uang ringgit di Juli 2005?,B
563,Sebutkan beberapa contoh kalimat atau kata yang juga kerap digunakan untuk menamakan surah,B
564,Apa nama album kedua NCT 127?,B
565,Hal lain apa yang memicu Perang Diponegoro?,B
566,Siapakah yang mengangkat perdana menteri ?,B
567,Berapakah utang luar negeri pemerintahan orde lama ?,B
568,Dimanakah letak pulau Leyte?,C
569,Pada tahun berapa Inggris mengakui kedaulatan Amerika Serikat?,B
570,Apa aliran filsafat yang terpengaruh dari Ibnu Rusyd?,A
571,Kapankah kabinet semi parlementer pertama Indonesia dibentuk ?,A
572,Apakah yang diminta soedirman pada Saburo Tamura dan Iwashige ?,B
573,Bagaimana jabatan tertinggi di Cossack dipilih?,B
574,Mengapa Britania menyerbu Islandia?,A
575,Apa isi dari pidato Jokowi pada tanggal 22 April 2015?,B
576,Berapakah pertumbuhan ekonomi Indonesia saat periode pelita V berlangsung ?,B
577,Mengapa saat era majapahit hampir seluruh komoditas Asia dapat ditemukan di Jawa?,B
578,Berapakah total kombinasi GDP ASEAN ?,B
579,Pada tahun berapa kekuatan kekhalifahan menyusut?,B
580,Apa yang mempercepat reformasi mata uang di Jerman barat?,B
581,Mengapa sistem demokrasi diperlukan?,B
582,dimana Soeharto mengadakan konferensi pers?,B
583,Apa maksud dari bubble gum pop?,B
584,Apakah fungsi dari presiden Singapura ?,B
585,Apa indikasi bahwa pasangan Jokowi-Basuki Tjahaja Purnama tidak diunggulkan?,C
586,Sistem legal apakah yang diterapkan provinsi Aceh?,B
587,Kapankah sistem pendidikan bertingkat diperkenalkan di Jepang ?,B
588,Dimanakah relief candi Borobudur dibuat ?,B
589,Apa bahasa resmi Kepulauan Mariana Utara?,B
590,Apa nama kerajaan terbesar yang pernah ada di Indonesia?,B
591,Apakah yang di tawarkan Semaun pada Hatta ?,B
592,Mengapa terdapat perbedaan kewarganegaraan di malaysia timur dan malaysia barat?,C
593,Siapakah yang meminta Belanda untuk mengakui bahwa Indonesia merdeka pada 17 Agustus 1945?,B
594,Apa yang dilakukan Soekarno sehingga menyebabkan jatuh bangunnya kabinet?,B
595,Daerah mana yang dikuasai oleh para khalifah Abbasiyah setelah merdeka berkuasa kembali?,A
596,Kapankah sistem EZ-Link dapat digunakan pada sistem angkutan umum di Singapura ?,B
597,Kepada siapa lukisan Pengankapan Pangeran Dipoengoro itu diberikan?,B
598,Mengapa ambarawa dianggap penting secara strategis ?,B
599,Kapan bendera Indonesia diturunkan pada acara peringatan kemerdekaan?,B
600,Apa kegunaan perangkat lunak yang dikembangkan oleh Arkadia?,B
601,"Setelah penangkapan, kemana Pangeran Diponegoro diasingkan?",A
602,Sejak kapan benih - benih kemunduran sudah terlihat?,B
603,Kapan perjanjian damai dengan Jerman ditandatangani?,B
604,Apa kepanjangan dari NASAKOM?,C
605,Berapa jumlah angkatan kerja di AS pada tahun 2010?,B
606,Apakah sistem parlemen yang dianut Jepang ?,A
607,Siapakah presiden yang menghapus larangan-larangan terhadap mantan anggota PKI ?,B
608,Siapa nama istri kedua dari Sunan Ampel?,B
609,Apa yang kesultanan malaka lakukan pada pertengahan abad ke-15?,B
610,Apa negara yang berpihak pada Serbia?,A
611,Pada Bulan apakah awal taifun sering terjadi ?,B
612,"Menurut sistem penanggalan di Jepang, tahun berapakah proklamasi kemerdekaan Indonesia berlangsung?",B
613,Apa nama studio kedua NCT 127?,B
614,Surat kabar apa saja yang dilarang oleh Soeharto?,A
615,Apa inti dari proklamasi emansipasi?,B
616,Berapa nilai investasi Sequoia Capital?,B
617,Apakah akhir dari serangan Mesir ke ISrael ?,B
618,Siapa Dua Presiden Amerika Serikat yang memuji Soeharto?,B
619,Klub sepak bola apa yang bertanding di Liga Super?,B
620,Kapan PEMILU terbesar dilaksanakan?,B
621,SIapa yang berusaha menyelesaikan konflik di Surabaya?,B
622,Salah satu aktivitas utama manusia di Nusantara sekitar 2000 tahun sebelum masehi adalah,B
623,"Menurut Russel Jones, mengapa eksistensi Poortman seharusnya mudah untuk dibuktikan?",B
624,Pulau bagian barat Indonesia apa saja yang dahulu masih menyatu dengan daratan Asia?,B
625,Apa salah satu tugas penting kabinet yang dibuat oleh Presiden Habibie?,B
626,Kapan Kennedy dibunuh?,A
627,Siapa nama raja dari Buddhis Ligor?,B
628,Apa pandangan rakyat terhadap Jokowi menurut Salim Said?,A
629,Kapan ayah dan ibu soekarno bertemu?,B
630,Kapankah Amerika Serikat mulai mempengaruhi kebudayaan Jepang ?,B
631,"Dimanakah sidang liga menentang imperialisme, penindasan kolonial dan untuk kemerdekaan nasional diselenggarakan ?",B
632,Mengapa negara anggota GNB tidak bisa ikut seperti apa yang dilakukan seluruh sekutu uni soviet?,B
633,Berapa jumlah tentara Britania dan negeri jajahannya?,B
634,Apakah sektor utama yang dibangun pelita V ?,B
635,Berapakah standar internasional untuk lebar lapangan bola basket ?,B
636,Berapa lamakah setiap pria di Singapura menjalani National service ?,B
637,Apa nama kerajaan paling awal yang muncul di kedah?,C
638,berapa banyak orang yang ditangkap karena dicurigai terlibat kudeta?,B
639,Apa yang perbedaan antara rumah sakit swasta dan rumah sakit umum?,B
640,kisah Garuda melambangkan apa?,B
641,Siapa yang memimpin pasukan dari Balkan ketika melawan Utsmaniyah?,B
642,tahun berapa Suleiman Agung menyerang Wina tapi gagal?,B
643,Berapa alokasi dana GDP untuk TNI pada tahun 2006?,B
644,Apa nama teknologi pendahulu internet?,B
645,Siapakah pelaku pembunuhan pada peristiwa tahun 1966 di Bali?,A
646,Kapan megawati kalah suara dari SBY?,B
647,Mengapa proyek repelita memberikan prioritas pada sektor pertanian ?,C
648,Mengapa penduduk Estonia membantu Jerman menahan serangan Soviet?,B
649,Dimanakah letak pegunungan Rocky?,B
650,Suku apa saja yang umumnya ada di Jakarta?,B
651,Di AS bagian manakah yang merupakan kawasan dengan pertumbuhan tercepat?,B
652,Berapakah peringkat indeks demokrasi Singapura ?,B
653,Siapakah nama istri dari Soedirman ?,B
654,Apakah pangkat kepala staf APRIS ?,B
655,apa nama semboyan negara indonesia?,C
656,apa tugas pemain pengumpan?,B
657,Apa bahasa resmi yang digunakan di Hawaii?,B
658,Siapakah presiden pertama Indonesia yang tidak berasal dari orang militer?,C
659,Siapa yang memimpin operasi FDR di Madiun?,C
660,Mengapa sistem demokrasi parlementer tidak cocok dengan bangsa Indonesia ?,B
661,Apa organisasi yang menghimpun seluruh anggota asia tenggara?,B
662,Kapan konsep filsafat analitik mulai dikenalkan di AS?,B
663,Kapan kebijakan pelucutan industri di Jerman Barat berlangsung?,A
664,Sejak kapan keruntuhan kekuasaan Bani Abbas mulai terlihat menurut Ibnu Khaldun?,B
665,Apakah satuan yang digunakan dalam pembangunan candi Borobudur ?,A
666,Apa sajakah contoh dari satuan ukur tala ?,B
667,Siapa nama Arya Damar setelah memeluk Islam?,B
668,Siapakah guru Agama Mohamad Hatta ?,B
669,Banjir kanal apa saja untuk mengurangi banjir?,B
670,Bagaimana bentuk emas JM London yang dimiliki oleh Soenuso?,B
671,Berapa banyak penduduk Jepang yang menganut Kekristenan ?,B
672,Mengapa bangsa Eropa ingin menguasai SDA Indonesia?,B
673,Apa yang dimaksud dengan bahasa Kristang?,A
674,Surah apakah yang pertama kali diturunkan kepada Nabi Muhammad SAW?,B
675,Apa inti dari Surat Perintah Sebelas Maret?,B
676,Apakah nama dari kitab India tentang arsitektur dan tata kota ?,B
677,Apakah langkah ketiga yang diajukan komisi untuk rencana pelestarian Borobudur ?,B
678,Berapa besarkah bidang manufaktur menyumbang PDB Singapura ?,B
679,Dari mana malaikat diciptakan?,A
680,Bagaimanakah cara Soedirman mengajarkan pelajaran moral pada para muridnya ?,B
681,Siapa nama ketua PDIP?,B
682,Kapan Jerman mengalami kekalahan besar terhadap Soviet?,B
683,Apa yang menyebabkan pesatnya migrasi bangsa barat ke Amerika?,C
684,Apa nama partai yang dibubarkan berdasarkan surat supersemar?,B
685,Apa ide yang mendasari dibuatnya gerakan benteng?,C
686,Mengapa Kesultanan Brunei memutuskan untuk tidak bergabung dengan federasi malaya?,B
687,Apa saja program transparansi yang diinisiasi oleh Jokowi?,B
688,Bersama dengan siapa Yoon-oh menjadi penyiar di radio SBS?,B
689,Pihak manakah yang kehilangan korban paling banyak akibat perang? ,B
690,Apa benefit yang didapatkan para atlit bulu tangkis yang mendapat banyak poin pada turnamen tingkat tiga BWF?,B
691,Apa salah satu dampak deforestasi ilegal berskala besar di Indonesia?,B
692,Apa hal yang diterapkan agar pemerintah bisa lebih fokus untuk mengurusi perekonomian?,B
693,Siapakah pemegang kedaulatan tertinggi di Jepang ?,A
694,Berapa rata-rata curah hujan di Jakarta pada bulan Januari dan Februari?,C
695,Siapakah anggota yang keluar dari Budi Utomo ?,B
696,kementerian apa yang memberikan penghargaan penonton terbanyak?,B
697,Mengapa Indonesia termasuk kedalam negara megadiversitas?,C
698,Berasal darimanakah baju adat Dayak?,C
699,Bagaimana kekuatan politik umat Islam yang melemah memengaruhi umat Islam?,B
700,Mengapa ilmuwan terkemuka memutuskan hijrah ke Amerika?,B
701,Berapa banyak kata Qur'an disebut dalam Al-Qur'an?,B
702,Apa yang terjadi saat Soekarno datang ke perguruan cikini pada tanggal 30 November 1957?,B
703,Siapakah Romo Heri itu?,C
704,Kapankah Komisi Budi Utomo dan PBI dibentuk ?,C
705,Mengapa tindakan Sukiman dipandang lebih condong ke blok barat?,B
706,Zaman khalifah siapakah popularitas daulah Abbasiyah mencapai puncaknya?,A
707,Siapa yang menyerahkan Keris Kiai Nogo Siluman ke RI?,B
708,Bagaimana Johnny masuk menjadi trainee?,B
709,Bagaimana lingkungan masyarakat di sekitar Nabi Muhammad?,B
710,Siapa nama menteri perindustrian?,B
711,Kapan masa kemunduran khilafah Abbaisyah dimulai?,B
712,Apa yang terjadi pada Pembantaian Nanking?,B
713,Apakah kejuaraan sepak bola internasional terbesar di dunia ?,B
714,Ke kota manakah Nabi Muhammad berhijrah pada tahun 622?,B
715,Mengapa Belanda melarang agama dan permusuhan saat menguasai Indonesia?,B
716,Apa yang dilakukan Uni Soviet agar Jerman tidak mencaplok wilayah Eropa Timur?,C
717,Apa saja tahapan yang harus dilalui pada sekolah independen?,B
718,Di mana kah kantor penelitian dan pengembangan yandex berada?,B
719,Berapa tahun rata-rata masa sekolah anak di Amerika?,B
720,Apakah yang diperintahkan Presiden Soekarno Kepada Letnan Jenderal Soeharto dalam Supersemar ?,B
721,Berapakah posisi Indonesia pada kejuaraan bola basket Asia IV ?,B
722,Apa makna Al-Qur'an menurut kata dasarnya qara'a?,B
723,Darimanakah kebanyakan agama Asia berasal ?,B
724,Darimana para pejuang mendengar berita bahwa Jepang menyerah kepada sekutu?,A
725,Apa jabatan yang dipegang oleh Simanjuntak saat Abdurrahman Wahid menjadi presiden?,B
726,Apa posisi yang diemban oleh Abendanon?,A
727,Apakah yang membunuh Isdiman dalam pertempuran ?,B
728,"Siapa yang memperkenalkan pai apel, ayam goreng, dan pizza di AS?",B
729,Apakah yang dimaksud rehabilitasi ekonomi ?,B
730,Disebut apakah suku minoritas secara sosial di Jepang ?,B
